Unnamed: 0,Total cost,Average manufacturing cost per therapy,Average TRT delay penalty per therapy,Average manufacturing delay penalty per therapy,Average transport cost per therapy,Average QC cost per therapy,Average cost per therapy,Average return time
17,59345150.00000056,93246.92000000112,2688.0,3016.0,2967.38,19788.0,118690.30000000112,20.344000000000005
18,58961636.00000056,92988.92000000112,2164.0,2758.0,2982.352,19788.0,117923.27200000112,20.082000000000004
19,59029497.00000056,93032.92000000112,2284.0,2802.0,2954.074,19788.0,118058.99400000113,20.142000000000003
20,58965863.00000056,92992.92000000112,2200.0,2762.0,2950.806,19788.0,117931.72600000112,20.1
21,59001289.00000056,93012.92000000112,2232.0,2782.0,2969.658,19788.0,118002.57800000111,20.116000000000007
22,59134497.00000056,93104.92000000112,2444.0,2874.0,2932.074,19788.0,118268.99400000113,20.222000000000005
23,59074503.00000056,93062.92000000112,2360.0,2832.0,2938.086,19788.0,118149.00600000111,20.18
24,59143410.00000056,93108.92000000112,2420.0,2878.0,2969.9,19788.0,118286.82000000111,20.21
25,59078936.00000056,93064.92000000112,2312.0,2834.0,2992.952,19788.0,118157.87200000112,20.156
26,58877470.00000056,92932.92000000112,2060.0,2702.0,2974.02,19788.0,117754.94000000112,20.03
27,58825710.00000056,92896.92000000112,2068.0,2666.0,2898.5,19788.0,117651.42000000112,20.034
28,58969863.00000056,92992.92000000112,2180.0,2762.0,2978.806,19788.0,117939.72600000112,20.09
29,58997084.00000056,93012.92000000112,2244.0,2782.0,2949.248,19788.0,117994.16800000113,20.122
30,59022869.00000056,93030.92000000112,2252.0,2800.0,2974.818,19788.0,118045.73800000112,20.126000000000005
31,58960376.00000056,92984.92000000112,2212.0,2754.0,2935.832,19788.0,117920.75200000111,20.106
32,59071456.00000056,93060.92000000112,2348.0,2830.0,2945.992,19788.0,118142.91200000112,20.174000000000007
33,59335442.00000056,93236.92000000112,2692.0,3006.0,2953.964,19788.0,118670.88400000113,20.345999999999997
34,58947504.00000056,92978.92000000112,2184.0,2748.0,2944.088,19788.0,117895.00800000112,20.092
35,58850463.00000056,92914.92000000112,2024.0,2684.0,2974.006,19788.0,117700.92600000113,20.012
36,58980588.00000056,92996.92000000112,2192.0,2766.0,2984.256,19788.0,117961.17600000113,20.096000000000004
37,58925342.00000056,92962.92000000112,2156.0,2732.0,2943.764,19788.0,117850.68400000111,20.078
38,58958643.00000056,92984.92000000112,2196.0,2754.0,2948.366,19788.0,117917.28600000111,20.098000000000003
39,58819188.00000056,92888.92000000112,2000.0,2658.0,2961.456,19788.0,117638.37600000112,20.000000000000004
40,59036676.00000056,93038.92000000112,2272.0,2808.0,2974.432,19788.0,118073.35200000112,20.136000000000006
41,58776111.00000056,92868.92000000112,1908.0,2638.0,2987.302,19788.0,117552.22200000111,19.953999999999997
42,58986676.00000056,93000.92000000112,2240.0,2770.0,2944.432,19788.0,117973.35200000112,20.12
43,58899082.00000056,92944.92000000112,2108.0,2714.0,2957.244,19788.0,117798.16400000112,20.054
44,59126204.00000056,93098.92000000112,2428.0,2868.0,2937.488,19788.0,118252.40800000112,20.214
45,58767650.00000056,92856.92000000112,1936.0,2626.0,2954.38,19788.0,117535.30000000112,19.968
46,59117391.00000056,93092.92000000112,2416.0,2862.0,2937.862,19788.0,118234.78200000113,20.208
47,58805737.00000056,92884.92000000112,1964.0,2654.0,2974.554,19788.0,117611.47400000112,19.982000000000006
0,59033437.00000056,93038.92000000112,2292.0,2808.0,2947.954,19788.0,118066.87400000112,20.146
1,58919703.00000056,92958.92000000112,2148.0,2728.0,2944.486,19788.0,117839.40600000112,20.074
2,59209936.00000056,93150.92000000112,2532.000000000002,2920.0,2948.952,19788.0,118419.87200000112,20.266
3,58988491.00000056,93010.92000000112,2212.0,2780.0,2966.062,19788.0,117976.98200000112,20.106
4,58910796.00000056,92956.92000000112,2084.0,2726.0,2992.672,19788.0,117821.59200000112,20.042
5,59160362.00000056,93114.92000000112,2472.0,2884.0,2945.804,19788.0,118320.72400000112,20.236
6,58937643.00000056,92970.92000000112,2160.0,2740.0,2956.366,19788.0,117875.28600000111,20.080000000000005
7,59093424.00000056,93072.92000000112,2360.0,2842.0,2965.928,19788.0,118186.84800000112,20.18
8,58751970.00000056,92850.92000000112,1900.0,2620.0,2965.02,19788.0,117503.94000000112,19.95
9,59082391.00000056,93068.92000000112,2336.0,2838.0,2971.862,19788.0,118164.78200000113,20.168
10,59044403.00000056,93042.92000000112,2304.0,2812.0,2953.886,19788.0,118088.80600000112,20.152000000000005
