Unnamed: 0,Total cost,Average manufacturing cost per therapy,Average TRT delay penalty per therapy,Average manufacturing delay penalty per therapy,Average transport cost per therapy,Average QC cost per therapy,Average cost per therapy,Average return time
28,49504736.69999979,74764.73339999958,1560.0,2580.0,2896.74,19788.0,99009.47339999958,19.78
29,49622348.69999979,74836.73339999958,1772.0,2652.0,2847.964,19788.0,99244.69739999955,19.885999999999996
30,51470824.8,77998.43160000001,2220.000000000001,2806.0,2935.218,19788.0,102941.6496,20.110000000000003
31,49987056.699999794,75078.73339999959,2252.0,2894.0,2855.38,19788.0,99974.1133999996,20.126
32,49773188.69999979,74948.73339999958,1916.0,2764.0,2893.644,19788.0,99546.37739999958,19.95800000000001
33,49706300.69999979,74896.73339999958,1840.0,2712.0,2887.868,19788.0,99412.60139999958,19.92
34,49635092.69999979,74846.73339999958,1736.0,2662.0,2899.452,19788.0,99270.18539999958,19.868
35,49941872.69999979,75054.73339999958,2172.0,2870.0,2869.012,19788.0,99883.74539999958,20.086
36,51317073.8,77892.43160000001,2000.0,2700.0,2953.716,19788.0,102634.1476,20.000000000000004
37,49790352.69999979,74954.73339999958,1976.0,2770.0,2861.972,19788.0,99580.70539999956,19.988000000000003
38,49759864.699999794,74936.73339999959,1952.0,2752.0,2842.996,19788.0,99519.7293999996,19.976
39,51146141.8,77780.43160000001,1760.0,2588.0,2963.852,19788.0,102292.2836,19.880000000000003
40,54218318.70000001,83923.82540000002,1860.0,2716.0,2864.812,19788.0,108436.63740000002,19.930000000000003
41,51355730.8,77922.43160000001,2024.0,2730.0,2977.03,19788.0,102711.4616,20.012000000000004
42,49919484.69999979,75032.73339999958,2196.0,2848.0,2822.236,19788.0,99838.96939999958,20.098000000000003
43,49788764.69999979,74952.73339999958,1976.0,2768.0,2860.796,19788.0,99577.52939999958,19.988
44,51463324.8,77992.43160000001,2152.0,2800.0,2994.218,19788.0,102926.6496,20.076000000000004
45,49843004.699999794,74986.73339999959,2048.0,2802.0,2863.276,19788.0,99686.0093999996,20.024
46,51529907.8,78034.43160000001,2236.0,2842.0,3001.384,19788.0,103059.8156,20.118
