Unnamed: 0,Total cost,Average manufacturing cost per therapy,Average TRT delay penalty per therapy,Average manufacturing delay penalty per therapy,Average transport cost per therapy,Average QC cost per therapy,Average cost per therapy,Average return time
35,49941872.69999979,75054.73339999958,2172.0,2870.0,2869.012,19788.0,99883.74539999958,20.086
36,51317073.8,77892.43160000001,2000.0,2700.0,2953.716,19788.0,102634.1476,20.000000000000004
37,49790352.69999979,74954.73339999958,1976.0,2770.0,2861.972,19788.0,99580.70539999956,19.988000000000003
38,49759864.699999794,74936.73339999959,1952.0,2752.0,2842.996,19788.0,99519.7293999996,19.976
39,51146141.8,77780.43160000001,1760.0,2588.0,2963.852,19788.0,102292.2836,19.880000000000003
40,54218318.70000001,83923.82540000002,1860.0,2716.0,2864.812,19788.0,108436.63740000002,19.930000000000003
41,51355730.8,77922.43160000001,2024.0,2730.0,2977.03,19788.0,102711.4616,20.012000000000004
42,49919484.69999979,75032.73339999958,2196.0,2848.0,2822.236,19788.0,99838.96939999958,20.098000000000003
43,49788764.69999979,74952.73339999958,1976.0,2768.0,2860.796,19788.0,99577.52939999958,19.988
44,51463324.8,77992.43160000001,2152.0,2800.0,2994.218,19788.0,102926.6496,20.076000000000004
45,49843004.699999794,74986.73339999959,2048.0,2802.0,2863.276,19788.0,99686.0093999996,20.024
46,51529907.8,78034.43160000001,2236.0,2842.0,3001.384,19788.0,103059.8156,20.118
47,49627452.69999979,74846.73339999958,1712.0,2662.0,2908.172,19788.0,99254.90539999957,19.856000000000005
